,Total,Total,Total,Unit price,Unit price,Unit price,Rating,Rating,Rating,Quantity,Quantity,Quantity
,count,mean,std,count,mean,std,count,mean,std,count,mean,std
cluster_k5,,,,,,,,,,,,
0,235,690.33,152.35,235,80.98,12.42,235,6.58,1.72,235,8.17,1.51
1,209,308.76,120.24,209,35.83,14.2,209,7.16,1.55,209,8.36,1.32
2,199,126.52,86.89,199,39.15,17.94,199,5.38,0.91,199,3.25,1.77
3,165,131.89,82.95,165,34.04,14.82,165,8.64,0.85,165,3.74,1.79
4,192,256.61,125.98,192,82.01,11.63,192,7.47,1.48,192,3.02,1.48
