,Customer type,Gender,Product line,Payment
0,Member (52.3%); Normal (47.7%),Male (50.2%); Female (49.8%),Home and lifestyle (18.3%); Sports and travel (17.9%); Electronic accessories (17.9%),Ewallet (34.5%); Cash (33.2%); Credit card (32.3%)
1,Normal (51.7%); Member (48.3%),Female (56.5%); Male (43.5%),Electronic accessories (18.7%); Fashion accessories (17.7%); Food and beverages (16.7%),Ewallet (36.8%); Cash (35.4%); Credit card (27.8%)
2,Normal (50.3%); Member (49.7%),Male (51.3%); Female (48.7%),Fashion accessories (20.6%); Home and lifestyle (18.6%); Sports and travel (18.1%),Ewallet (34.7%); Credit card (33.2%); Cash (32.2%)
3,Normal (54.5%); Member (45.5%),Male (52.7%); Female (47.3%),Food and beverages (26.1%); Electronic accessories (18.2%); Fashion accessories (15.8%),Credit card (37.6%); Ewallet (31.5%); Cash (30.9%)
4,Member (53.6%); Normal (46.4%),Male (52.6%); Female (47.4%),Fashion accessories (20.3%); Sports and travel (19.3%); Food and beverages (18.8%),Cash (40.1%); Ewallet (34.4%); Credit card (25.5%)
